,emp_no,first_name,last_name,birth_date,from_date,to_date,title
39,20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Engineer
40,20248,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
41,20313,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Engineer
42,20500,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Senior Staff
43,20885,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Senior Engineer
44,21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Engineer
45,21188,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Engineer
46,21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
47,21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
48,21909,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Staff
49,22185,Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Engineer
50,22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
51,22451,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Senior Staff
52,22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
53,22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
54,23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
55,24080,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Technique Leader
56,24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
57,24377,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Engineer
58,24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
59,24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Senior Staff
60,24571,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Engineer
61,25488,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Staff
62,26629,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Senior Staff
63,26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
64,26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Engineer
65,27331,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Senior Staff
66,27378,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Senior Staff
67,27620,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Engineer
68,27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
69,27699,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01,Engineer
70,27767,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Senior Staff
71,28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
72,28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
73,28988,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Technique Leader
74,29130,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Staff
75,29265,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Senior Staff
76,29380,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
77,29418,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
78,29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
79,29782,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
80,29954,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
81,30007,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Engineer
82,30035,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Senior Staff
83,30154,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Technique Leader
84,30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Engineer
85,30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Senior Engineer
86,30484,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Staff
87,30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
88,30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Staff
89,31147,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Senior Staff
90,31188,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Technique Leader
91,31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
92,31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
93,31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Engineer
94,31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
95,31909,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01,Engineer
96,32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Senior Staff
97,32552,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01,Engineer
98,32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
99,32714,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01,Staff
100,32844,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01,Engineer
101,33025,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Senior Staff
102,33215,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01,Technique Leader
103,33722,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01,Senior Engineer
104,34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Senior Staff
105,34261,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Staff
106,34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
107,34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Senior Engineer
108,34505,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Senior Staff
109,34533,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
110,34780,Moni,Kohling,1965-01-16,2001-09-18,9999-01-01,Staff
111,34788,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
112,34936,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Technique Leader
113,35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Engineer
114,35087,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Senior Staff
115,35441,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Engineer
116,35642,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01,Senior Engineer
117,35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
118,35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
119,36521,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Senior Staff
120,36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
121,36733,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Staff
122,36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
123,36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Engineer
124,37070,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Senior Staff
125,37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
126,38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Engineer
127,38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Senior Engineer
128,38168,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Senior Staff
129,38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
130,38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Engineer
131,38947,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01,Senior Staff
132,39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
133,39036,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Staff
134,39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Staff
135,39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Engineer
136,39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
137,40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
138,40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Engineer
139,40301,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
140,40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Engineer
141,40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
142,40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Senior Staff
143,40983,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Technique Leader
144,41114,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Technique Leader
145,41137,Bikash,Buchter,1965-01-20,1996-01-08,9999-01-01,Senior Staff
146,41357,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Engineer
147,41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
148,41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
149,41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
150,42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Senior Staff
151,42911,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Engineer
152,42950,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Senior Staff
153,42955,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Engineer
154,43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Senior Staff
155,43733,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Senior Staff
156,43848,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Engineer
157,44054,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01,Engineer
158,44265,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01,Engineer
159,44540,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
160,44900,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Staff
161,44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Engineer
162,44962,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
163,45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Senior Engineer
164,46000,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01,Senior Staff
165,46328,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Senior Staff
166,46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
167,46834,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01,Senior Staff
168,46943,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Engineer
169,47016,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01,Senior Staff
170,47139,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01,Engineer
171,47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Engineer
172,47515,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
173,47702,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01,Staff
174,47708,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01,Senior Staff
175,48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Senior Staff
176,48690,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Staff
177,48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Engineer
178,48904,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01,Senior Staff
179,48947,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Senior Staff
180,49010,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01,Staff
181,49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Engineer
182,49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Engineer
183,49177,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Engineer
184,49464,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01,Staff
185,49477,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01,Senior Staff
186,50293,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01,Engineer
187,50311,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
188,50453,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Staff
189,50670,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Senior Staff
190,50831,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
191,51036,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Staff
192,51057,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01,Senior Staff
193,51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Senior Engineer
194,51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Senior Engineer
195,52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
196,52040,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01,Staff
197,52283,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Staff
198,52386,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Senior Staff
199,52590,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01,Senior Staff
200,52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Engineer
201,52639,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Senior Staff
202,52770,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Senior Staff
203,52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
204,52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Senior Engineer
205,52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Engineer
206,53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Senior Staff
207,53314,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Staff
208,53431,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01,Senior Staff
209,53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Engineer
210,53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Engineer
211,53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Senior Staff
212,53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Engineer
213,54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Engineer
214,54632,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01,Senior Staff
215,54795,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,Senior Staff
216,54800,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,Staff
217,55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Engineer
218,55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
219,55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Engineer
220,55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Senior Staff
221,56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Engineer
222,56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Senior Engineer
223,56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Staff
224,56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Senior Staff
225,56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
226,56829,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,Engineer
227,56847,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,Senior Engineer
228,57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Engineer
229,58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Staff
230,58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Senior Staff
231,58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Engineer
232,58454,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,Engineer
233,58497,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01,Senior Staff
234,58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Senior Staff
235,58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Engineer
236,59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Technique Leader
237,59640,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01,Staff
238,59869,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Senior Staff
239,59966,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01,Technique Leader
240,60000,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Engineer
241,60091,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01,Senior Staff
242,60238,Erzsebet,Claffy,1965-01-23,1999-02-19,9999-01-01,Staff
243,60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Engineer
244,60821,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01,Senior Staff
245,60845,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01,Engineer
246,60875,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01,Engineer
247,60959,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01,Senior Staff
248,61147,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01,Staff
249,61253,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01,Engineer
250,61377,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Senior Staff
251,61541,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Senior Engineer
252,61873,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Assistant Engineer
253,62033,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Engineer
254,62046,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Engineer
255,62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
256,63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Senior Engineer
257,63419,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01,Senior Engineer
258,63441,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01,Staff
259,63566,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01,Senior Staff
260,63631,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01,Senior Engineer
261,63706,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Engineer
262,64023,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01,Senior Engineer
263,64209,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01,Senior Staff
264,64487,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01,Engineer
265,64532,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01,Senior Engineer
266,64632,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01,Senior Staff
267,64790,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Engineer
268,64828,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Staff
269,64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Engineer
270,65171,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01,Technique Leader
271,65539,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01,Engineer
272,65883,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01,Senior Staff
273,65998,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Senior Staff
274,66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
275,66530,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Staff
276,66643,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01,Engineer
277,66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Engineer
278,66757,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01,Staff
279,66807,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Engineer
280,67320,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01,Senior Staff
281,67548,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Staff
282,67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Senior Engineer
283,68416,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01,Senior Engineer
284,68608,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01,Engineer
285,68633,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01,Senior Engineer
286,68648,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01,Technique Leader
287,69052,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01,Senior Staff
288,69219,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01,Senior Staff
289,69867,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01,Senior Staff
290,69878,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01,Engineer
291,69936,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01,Assistant Engineer
292,70469,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01,Staff
293,70990,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01,Senior Engineer
294,71066,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01,Senior Staff
295,71141,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01,Senior Staff
296,71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Senior Staff
297,71243,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Senior Engineer
298,71334,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01,Senior Engineer
299,71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
300,71710,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01,Assistant Engineer
301,71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Engineer
302,72190,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Engineer
303,72194,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01,Senior Engineer
304,72232,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Engineer
305,72640,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01,Senior Engineer
306,72918,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Senior Staff
307,73076,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01,Senior Engineer
308,73233,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01,Senior Engineer
309,73516,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01,Senior Engineer
310,73743,Anneke,Bernardeschi,1965-01-15,2000-10-15,9999-01-01,Engineer
311,74200,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01,Senior Engineer
312,74344,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01,Engineer
313,74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
314,74800,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01,Engineer
315,75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Senior Engineer
316,75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Engineer
317,76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Senior Engineer
318,76201,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01,Senior Engineer
319,76640,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01,Engineer
320,77030,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Technique Leader
321,77303,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01,Senior Staff
322,77647,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01,Technique Leader
